slno,id,ward,wodetails,contractor,brnumber,amount,nett,deduction
1536,529538,173,"173-19-000001</a>Comprehensive developments of bad roads at J D Mara slum Venkateshwara layout, Bhavani layout, Koramangala 80 ft road, 5th cross 5th block 18th main road 6th block 8th main road Koramangala, Sarjapura road Sarjapura Service road, 14th main road in Jakkasandra Asphalting to Service road, near Agara flyour of Jakkasandra and all other roads in B T M Constituency",M S V CONSTRUCTIONS [phone removed],BR - 000074 / 06-Jul-2022CBR - / Rtgs - 002909 / 27-May-2025,42185412,39706722,2478690
1537,721231,167,167-22-000003</a>Operation and Maintenance of Street Lighting System in ward no 167 Package S-16 of South zone.,022531 SRICHAMUNDESHWARIELE[phone removed],BR - 000020 / 29-Apr-2025CBR - / Rtgs - 002919 / 27-May-2025,659318,601720,57598
1538,721226,169,169-22-000001</a>Operation and Maintenance of Stree Lighting System in Ward no 169 Package S-19 of South Zone,023737 MEGHANAELECTRICALS[phone removed],BR - 000019 / 29-Apr-2025CBR - / Rtgs - 002920 / 27-May-2025,595320,542870,52450
1539,721224,168,168-22-000002</a>Operation and Maintenance of Street Lighting System in ward no 168 and 179 Package S-18 of South Zone,PRABHAELECTRICALSPRO[phone removed],BR - 000021 / 29-Apr-2025CBR - / Rtgs - 002921 / 27-May-2025,1289571,1179746,109825
1540,721221,154,154-22-000001</a>Operation And Maintenance Of Street Lighting System in Ward no 154 and 164 package S-5 of South zone.,002019 SREE BHARATHI ELECTR[phone removed],BR - 000022 / 29-Apr-2025CBR - / Rtgs - 002922 / 27-May-2025,1333568,1228420,105148
1541,721115,122,122-22-000002</a>Opration and Maintenance of Street Lighting System in Ward no 122 and 123 Package S-1 of South Zone,022463 MANJUNATHA.ENTERPRIS[phone removed],BR - 000023 / 29-Apr-2025CBR - / Rtgs - 002923 / 27-May-2025,637188,579791,57397
1542,721120,124,124-22-000002</a>Operation and Maintenance of Street Lighting System in Ward no124 and 133 Package S-2 of South Zone,022463 MANJUNATHA.ENTERPRIS[phone removed],BR - 000024 / 29-Apr-2025CBR - / Rtgs - 002924 / 27-May-2025,918150,840162,77988
1543,721296,132,132-22-000002</a>Operation and Maintenance of Street Ligthing System in Ward no 132 and 158 Package S-3 of South Zone,010319 SRI SWASTIK ELECTRIC[phone removed],BR - 000027 / 29-Apr-2025CBR - / Rtgs - 002926 / 27-May-2025,1019925,935121,84804
1544,721294,170,170-22-000001</a>Operation and Maintenance of Street Lighting System in ward no 170 and 171 Package S-20 of South Zone,022531 SRICHAMUNDESHWARIELE[phone removed],BR - 000028 / 29-Apr-2025CBR - / Rtgs - 002927 / 27-May-2025,880199,807291,72908
1545,721299,134,134-22-000003</a>Operation and Maintenance of Street Lighting System in ward no 134 and 157 package S-4 of South Zone,010319 SRI SWASTIK ELECTRIC[phone removed],BR - 000029 / 29-Apr-2025CBR - / Rtgs - 002928 / 27-May-2025,745498,681741,63757
1546,721305,161,161-22-000008</a>Operation and Maintenance of Street Lighting System in Ward mo 161 and 183 Package S-12 of south zone,026431 BANASHANKARI ELECTRI[phone removed],BR - 000030 / 29-Apr-2025CBR - / Rtgs - 002929 / 27-May-2025,832816,763827,68989
1547,721346,162,162-22-000001</a>Operation and Maintenance of Street Lighting system in Ward no 162& 163 Package S-7 of South Zone,026540 SUJAI ELECTRICAL - T[phone removed],BR - 000031 / 29-Apr-2025CBR - / Rtgs - 002930 / 27-May-2025,1306420,1195152,111268
1548,721370,142,142-22-000006</a>Operation and Maintenance of Street Lighting System in Ward no 142 and 143 Package S-22 of South Zone,022701 HIMAGIRISREEELECTRIC[phone removed],BR - 000033 / 29-Apr-2025CBR - / Rtgs - 002931 / 27-May-2025,896049,823863,72186
1549,721367,118,118-22-000005</a>Operation and Maintenance of Street Lighting System in Ward no 118 and 119 Package S-21 of South Zone,022701 HIMAGIRISREEELECTRIC[phone removed],BR - 000034 / 29-Apr-2025CBR - / Rtgs - 002932 / 27-May-2025,807705,742622,65083
1550,721378,172,172-22-000005</a>Operation and Maintenance of Street Lighting System in ward no 172 and 176 Package S-11 of South Zone,022576 LAKSHMIKANTHAELECTRI[phone removed],BR - 000035 / 29-Apr-2025CBR - / Rtgs - 002933 / 27-May-2025,1594346,1478388,115958
1551,511197,148,148-22-000001</a>Filling up of Potholes in ward Jurisdiction in ward No.148 Ejipura,024245 K SHARATH [phone removed],BR - 000271 / 30-Mar-2022CBR - / Rtgs - 002948 / 27-May-2025,1836026,1521502,314524
1552,475879,144,144-18-000043</a>Providing and laying of concrete galli roads in Shankarappa Garden near KHB Quarters in ward no 144,ARYA AND CO [phone removed],BR - 000136 / 17-Nov-2021CBR - / Rtgs - 002949 / 27-May-2025,1458400,1276006,182394
1553,487349,179,179-20-000019</a>Repairs and interior work in Buildings in in ward no 179 Jayanagar Constituency,M NAVEEN KUMAR[phone removed],BR - 000065 / 05-Jan-2022CBR - / Rtgs - 002950 / 27-May-2025,4611000,4284166,326834
1554,509992,164,164-20-000051</a>Providing and fixing new street name boards in ward no 164 Vidapeeta,KAVITHACONSTRUCTIONS[phone removed],BR - 000109 / 31-Mar-2022CBR - / Rtgs - 002951 / 27-May-2025,1630832,1457072,173760
1555,529016,167,167-21-000049</a>Repairs to children play equipment and providing sand to the children equipment at Ranadheera Kantheerava park in ward no 167,TOYS AND SPORTS [phone removed],BR - 000027 / 05-Jul-2022CBR - / Rtgs - 002952 / 27-May-2025,1053760,949166,104594
1556,516658,144,144-18-000045</a>Providing and laying of concrete galli road inGuttepalya road in ward no 144,ARYA AND CO [phone removed],BR - 000021 / 20-May-2022CBR - / Rtgs - 002953 / 27-May-2025,2954228,2547572,406656
1557,520149,171,171-19-000038</a>Development of Parks in Ward No.171 Gurappanapalya,KUMARA. S [phone removed],BR - 000016 / 30-May-2022CBR - / Rtgs - 002954 / 27-May-2025,3421347,3148404,272943
1558,636685,189,189-23-000001</a>Package – 8 - BZ - BD - (W-189) Name of Work : Comprehensive development of roads and drains in right hand side of Begur main road and surrounding areas in Ward No.189 Hongasandra (from Hosur main road Bommanahalli junction).,003559 ANANDA KUMAR[phone removed],BR - 000101 / 03-Feb-2024CBR - / Rtgs - 001602 / 28-May-2025,9856023,8565109,1290914
1559,525140,194,194-20-000155</a>Providing and fixing Name boards in ward no 194,PRAKASHB.K.[phone removed],BR - 000031 / 14-Jun-2022CBR - / Rtgs - 001603 / 28-May-2025,3414400,3093718,320682
1560,400814,194,194-20-000054</a>Repairs and Development of roads and drains at Pillaganahalli in ward no 194,SAANVI EARTH MOVERS [phone removed],BR - 000426 / 01-Feb-2021CBR - / Rtgs - 001604 / 28-May-2025,9426500,8298945,1127555
1561,477445,194,194-21-000002</a>Improvements to roads and drains to 7th and 8th Cross Pillaganahalli to weavers Colony Road Left Side in ward no 194 Gottigere,SAANVI EARTH MOVERS [phone removed],BR - 000218 / 19-Nov-2021CBR - / Rtgs - 001605 / 28-May-2025,9910000,9253826,656174
1562,487388,194,194-20-000128</a>Improvements to roads and drains at Weavers colony near Maramma Temple in ward no 194 Gottigere,UDAYINFRASTRUCTURES[phone removed],BR - 000242 / 24-Dec-2021CBR - / Rtgs - 001606 / 28-May-2025,4987000,4298055,688945
1563,510416,192,192-20-000065</a>Maintenance of Sanitary in Ward No 192 Begur,SHIVAPPAM.H.SOLATEMU[phone removed],BR - 000303 / 28-Mar-2022CBR - / Rtgs - 001607 / 28-May-2025,2908200,2642936,265264
1564,510935,194,194-20-000151</a>Maintenance of UGD at Pillaganahalli in ward no 194,N NAGARAJU[phone removed],BR - 000310 / 30-Mar-2022CBR - / Rtgs - 001608 / 28-May-2025,1957500,1783544,173956
1565,533812,194,194-20-000052</a>Repairs and Development of roads and drains at Gottigere in ward no 194,SAANVI EARTH MOVERS [phone removed],BR - 000052 / 26-Jul-2022CBR - / Rtgs - 001609 / 28-May-2025,7018800,6522781,496019
1566,719694,192,"192-22-000005</a>Annual Operation and Maintenance of street lighting system in Begur, Subhash Nagara, vishwapriya Layout, Bassapura and associated area of ward no:192, Begur Package B11A of Bommanahalli zone.",026626 MITHRA VRUNDA ELECTR[phone removed],BR - 000006 / 22-Apr-2025CBR - / Rtgs - 001612 / 28-May-2025,229697,212322,17375
1567,720310,196,"196-22-000006</a>Annual Operation and Maintenance of street lighting system in ward no-196, Package B15 of Bommanahalli zone.",LG TECHNOLOGIES[phone removed],BR - 000011 / 25-Apr-2025CBR - / Rtgs - 001614 / 28-May-2025,331130,306320,24810
1568,720314,196,"196-22-000006</a>Annual Operation and Maintenance of street lighting system in ward no-196, Package B15 of Bommanahalli zone.",LG TECHNOLOGIES[phone removed],BR - 000012 / 25-Apr-2025CBR - / Rtgs - 001615 / 28-May-2025,662260,613286,48974
1569,720470,194,"194-22-000004</a>Annual Operation and Maintenance of street lighting system in ward no:194, Package B13 of Bommanahalli zone.",023801 SREE SRIKANTESWARA E[phone removed],BR - 000014 / 25-Apr-2025CBR - / Rtgs - 001616 / 28-May-2025,1116288,1035540,80748
1570,720472,195,"195-22-000005</a>Annual Operation and Maintenance of street lighting system in ward no-195, Package B14 of Bommanahalli zone.",023801 SREE SRIKANTESWARA E[phone removed],BR - 000008 / 25-Apr-2025CBR - / Rtgs - 001617 / 28-May-2025,1095021,1014396,80625
1571,720849,184,"184-22-000006</a>Annual Operation and Maintenance of street lighting system in ward no-184,(Uttarahalli South side)Package B3B of Bommanahalli zone(1)",023740 VENKATESHWARAELECTRI[phone removed],BR - 000015 / 25-Apr-2025CBR - / Rtgs - 001618 / 28-May-2025,657286,606425,50861
1572,720917,185,"185-22-000002</a>Annual Operation and Maintenance of street lighting system in ward no-185, Package B4 of Bommanahalli zone.",026624 SNAGENCIES[phone removed],BR - 000030 / 29-Apr-2025CBR - / Rtgs - 001621 / 28-May-2025,730355,677730,52625
1573,720923,192,"192-22-000006</a>Annual Operation and Maintenance of street lighting system in Doddakammanahalli, Basvanapura, Tejaswini nagar, Chikkakammanahalli and associated area of ward no:192, Begur Package B11B of Bommanahalli.",026645 GEETHA ELECTRIC CORP[phone removed],BR - 000031 / 29-Apr-2025CBR - / Rtgs - 001622 / 28-May-2025,245955,220044,25911
1574,720924,192,"192-22-000006</a>Annual Operation and Maintenance of street lighting system in Doddakammanahalli, Basvanapura, Tejaswini nagar, Chikkakammanahalli and associated area of ward no:192, Begur Package B11B of Bommanahalli.",026645 GEETHA ELECTRIC CORP[phone removed],BR - 000032 / 29-Apr-2025CBR - / Rtgs - 001623 / 28-May-2025,491910,447685,44225
1575,720914,192,"192-22-000005</a>Annual Operation and Maintenance of street lighting system in Begur, Subhash Nagara, vishwapriya Layout, Bassapura and associated area of ward no:192, Begur Package B11A of Bommanahalli zone.",026626 MITHRA VRUNDA ELECTR[phone removed],BR - 000033 / 29-Apr-2025CBR - / Rtgs - 001628 / 28-May-2025,459396,421681,37715
1576,720926,186,186-22-000002</a>Annual Operation and Maintenance of street lighting system in ward no-186 Package B5 of Bommanahalli zone.,026635 SRI MANJUNATHA ELECT[phone removed],BR - 000034 / 29-Apr-2025CBR - / Rtgs - 001629 / 28-May-2025,409444,378623,30821
1577,721425,191,"191-22-000003</a>Annual Operation and Maintenance of street lighting system in Parappana agrahara, C.K Nagar, Naganatahpura and Associated Area of ward no: 191, singasandra, Package B10B of Bommanahalli zone.",026632 MAMATHA ELECTRICALS[phone removed],BR - 000039 / 30-Apr-2025CBR - / Rtgs - 001632 / 28-May-2025,710217,648859,61358
1578,721426,197,"197-22-000003</a>Annual Operation and Maintenance of street lighting system in ward no-197, Package B16 of Bommanahalli zone.",026630 SRIVENKATESWARAELECT[phone removed],BR - 000040 / 30-Apr-2025CBR - / Rtgs - 001633 / 28-May-2025,1247584,1154620,92964
